gold_label,sentence1,sentence2
contradiction,A man in a blue shirt and light blue cap walks by a working scale model of an antique freight train.,two men sit in a train car
neutral,A man and child working on a puzzle.,A dad is helping his daughter with a puzzle.
neutral,A person with a camera holds the hand of a woman wearing a cap.,People waiting for a picture to be taken.
entailment,A child is jumping off a platform into a pool.,The child is swimming.
neutral,A lady with red-hair peeking into the back of a car.,A lady is looking in a car at a dog.
neutral,A cricket batsman plays at the ball while the wicketkeeper behind him gestures as if making a catch.,A man plays at a cricket ball while little boy wicketkeeper is behind him.
neutral,A couple in bathing suits walk on a beach.,The couple are together
neutral,A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt.,The young boy is completing a heist.
neutral,A group of people sitting in a grassy area under a pink and white blossoming tree.,some people are having a picnic.
entailment,"Two men, both have glasses, are wearing striped shirts are in the kitchen preparing a meal and washing up.",Two guys are fixing a meal in the kitchen.
contradiction,Three people are kayaking in dark waters.,Three people are learning to use pogo sticks.
neutral,A middle-aged woman pretends to be a DJ as younger people point.,A middle-aged woman is trying to make younger people laugh by pretending to be a DJ.
contradiction,A guy is standing in front of a toilet with a coffee cup in one hand and a toilet brush in the other.,A man may have created a monster too unwilling to be flushed.
contradiction,Tourists enjoying mother nature.,Tourist standing in the middle of a busy intersection.
neutral,A man in apron and latex glove cleaning the desk tables in a theater type auditorium.,The man cleaning the auditorium is white.
neutral,A person crouches under a yellow umbrella on the beach.,The person seeks shelter from the rain.
entailment,There are three woman conversing at a table with drinks.,Women are talking
contradiction,A little boy in green is kicking a soccer ball and 6 boys in referee shirts are following him.,The girls are putting on makeup in the room.
neutral,A young child sits on some pillows with a green tray of chopped-up food in front of him.,A young man prepares to eat a meal.
neutral,A man with a crop is trying to stay on a rearing horse.,The man is old
contradiction,A man waterskies with a life jacket.,Hitler rides a jetski in this Kawasaki advertisement.
contradiction,A square full of people and life.,The park plaza is absolutely empty.
contradiction,A woman in a white dress with one leg stops to read a poster.,A lady in a white dress runs past a poster.
contradiction,A group of girls in matching brown dresses and sandals dance in unison.,The girls and boys dance.
entailment,A little girl in a blue dress is sitting on a red you tractor.,A girl sits on a vehicle.
entailment,"Group of casually dressed people, walking towards a large sea vessel.",The people have clothes on.
contradiction,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",A child is playing with a ball.
neutral,Several men in protective suits are rolling a man on a gurnee.,A man is being taken into the hospital
entailment,A girl is feeding a goat.,They are outside.
contradiction,A bridesmaid gives a toast with a microphone while two other bridesmaids and a gentleman look on.,The bridesmaid's hands are empty.
contradiction,The girl in yellow shorts and white jacket has a tennis ball in her left pocket.,A man wearing yellow shorts and a white jacket
neutral,A young woman standing on a tall ladder is changing the display title on the front of an old movie theater.,The young woman works for the movie theater.
neutral,A happy little girl rides on the merry-go-round.,the girl rode the horse on the ride
neutral,A puppet show consisting of humans standing on tall sticks.,The puppets are pulling by people.
contradiction,"A gray-haired woman wearing tan pants, a yellow and white jacket and sunglasses is sitting on a bench.",The woman is running.
contradiction,A young boy with his mum going home after playing toy games.,A boy is in the water playing with his mum.
entailment,A young boy is hanging onto a clothing rack.,A boy hangs from a rack.
entailment,Musicians are performing on stage.,A stage has musicians performing on it.
entailment,A group of people standing in front of a club.,A group of people in front of a club.
contradiction,"A man in an orange construction vest walks in a parade with a child atop his shoulders, carry balloons.",The has two legs.
contradiction,A man plays mini-gold on the SportsCenter set while two others observe.,Two goldfish are riding bikes in a giant pile of mashed potatoes.
